collection_id,match,target_player,target_team,question_type,line,lineup_status,lineup_role,expected_minutes,rates_sample_matches,rates_source,sot_per90,goals_per90,assists_per90,xg_per90,xa_per90,p_truth_v0,p_truth_xgxa,p_truth_source,truth_confidence,p_field_est,edge_vs_field,shrink_used,max_deviation_cap,recommended_submission,worst_case_rbp_estimate,best_case_rbp_estimate,decision,review_reason,risk_tags,notes
2026-06-22_new_zealand_vs_egypt_ben_waine_player_sot_over,New Zealand vs Egypt,Ben Waine,New Zealand,player_sot_over,,bench_unknown,central_attacker,,,,,,,,,,,,review,,,,,,,,review_missing_inputs,"missing required input(s): expected_minutes, sot_per90",bench_unknown;missing_expected_minutes;missing_rates,
2026-06-22_new_zealand_vs_egypt_ben_waine_player_goal_or_assist,New Zealand vs Egypt,Ben Waine,New Zealand,player_goal_or_assist,,bench_unknown,central_attacker,,,,,,,,,,,,review,,,,,,,,review_missing_inputs,"missing required input(s): expected_minutes, goals_per90, assists_per90",bench_unknown;missing_expected_minutes;missing_rates,
2026-06-22_new_zealand_vs_egypt_mahmoud_trezeguet_player_sot_over,New Zealand vs Egypt,Mahmoud Trezeguet,Egypt,player_sot_over,,bench_unknown,wide_attacker,,,,,,,,,,,,review,,,,,,,,review_missing_inputs,"missing required input(s): expected_minutes, sot_per90",bench_unknown;missing_expected_minutes;missing_rates,
2026-06-22_new_zealand_vs_egypt_mahmoud_trezeguet_player_goal_or_assist,New Zealand vs Egypt,Mahmoud Trezeguet,Egypt,player_goal_or_assist,,bench_unknown,wide_attacker,,,,,,,,,,,,review,,,,,,,,review_missing_inputs,"missing required input(s): expected_minutes, goals_per90, assists_per90",bench_unknown;missing_expected_minutes;missing_rates,
