collection_id,game_date,match,competition,target_team,opponent_team,target_player,question_type,question,line,lineup_status,lineup_role,expected_minutes,lineup_source,lineup_captured_at,recent_starts_last5,recent_minutes_last5,recent_form_source,recent_form_reason,shots_per90,sot_per90,goals_per90,assists_per90,xg_per90,xa_per90,is_penalty_taker,setpiece_role,rates_sample_matches,rates_source,target_team_win_prob,team_implied_goals,match_total_line,match_total_over_2_5_prob,btts_prob,opponent_strength,market_context_source,has_direct_prop_market,direct_prop_market_prob,prop_market_source,p_field_est,p_field_source,crowd_percent,submitted_percent,result,actual_rbp,if_yes_rbp,if_no_rbp,entered_by,entry_reason,notes
2026-06-22_new_zealand_vs_egypt_ben_waine_player_sot_over,2026-06-22,New Zealand vs Egypt,,New Zealand,Egypt,Ben Waine,player_sot_over,,,bench_unknown,central_attacker,,manual_lineup,2026-06-22T00:35:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-22_new_zealand_vs_egypt_ben_waine_player_goal_or_assist,2026-06-22,New Zealand vs Egypt,,New Zealand,Egypt,Ben Waine,player_goal_or_assist,,,bench_unknown,central_attacker,,manual_lineup,2026-06-22T00:35:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-22_new_zealand_vs_egypt_mahmoud_trezeguet_player_sot_over,2026-06-22,New Zealand vs Egypt,,Egypt,New Zealand,Mahmoud Trezeguet,player_sot_over,,,bench_unknown,wide_attacker,,manual_lineup,2026-06-22T00:35:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-22_new_zealand_vs_egypt_mahmoud_trezeguet_player_goal_or_assist,2026-06-22,New Zealand vs Egypt,,Egypt,New Zealand,Mahmoud Trezeguet,player_goal_or_assist,,,bench_unknown,wide_attacker,,manual_lineup,2026-06-22T00:35:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
