leagueID,date,home,away,favorite_gap,fg_source,fg_books,home_1h_cornerKicks,home_1h_yellowCards,home_1h_offsides,home_1h_shots_onGoal,home_1h_fouls,home_1h_shots,home_1h_points,home_1h_possessionPercent,home_2h_cornerKicks,home_2h_yellowCards,home_2h_offsides,home_2h_shots_onGoal,home_2h_fouls,home_2h_shots,home_2h_points,home_2h_possessionPercent,home_game_cornerKicks,home_game_yellowCards,home_game_offsides,home_game_shots_onGoal,home_game_fouls,home_game_shots,home_game_points,home_game_possessionPercent,away_1h_cornerKicks,away_1h_yellowCards,away_1h_offsides,away_1h_shots_onGoal,away_1h_fouls,away_1h_shots,away_1h_points,away_1h_possessionPercent,away_2h_cornerKicks,away_2h_yellowCards,away_2h_offsides,away_2h_shots_onGoal,away_2h_fouls,away_2h_shots,away_2h_points,away_2h_possessionPercent,away_game_cornerKicks,away_game_yellowCards,away_game_offsides,away_game_shots_onGoal,away_game_fouls,away_game_shots,away_game_points,away_game_possessionPercent
INTERNATIONAL_SOCCER,2026-06-01,SVK,MLT,0.3074,sgo_fairodds,1,,,,,,,1,,,,,,,,1,,,,,,,,2,,,,,,,,1,,,,,,,,0,,,,,,,,1,
INTERNATIONAL_SOCCER,2026-06-01,NOR,SWE,0.6715,sgo_fairodds,1,,,,,,,3,,,,,,,,0,,,,,,,,3,,,,,,,,0,,,,,,,,1,,,,,,,,1,
INTERNATIONAL_SOCCER,2026-06-01,TUR,MAC,0.813,sgo_fairodds,1,,,,,,,2,,,,,,,,,,,,,,,,4,,,,,,,,0,,,,,,,,,,,,,,,,0,
INTERNATIONAL_SOCCER,2026-06-01,AUT,TUN,0.7954,sgo_fairodds,1,,,,,,,0,,,,,,,,1,,,,,,,,1,,,,,,,,0,,,,,,,,0,,,,,,,,0,
INTERNATIONAL_SOCCER,2026-06-01,COL,CRC,,none,0,,,,,,,2,,,,,,,,1,,,,,,,,3,,,,,,,,1,,,,,,,,0,,,,,,,,1,
INTERNATIONAL_SOCCER,2026-06-01,COL,CRC,,none,0,,,,,,,2,,,,,,,,,,,,,,,,3,,,,,,,,1,,,,,,,,,,,,,,,,1,
INTERNATIONAL_SOCCER,2026-06-02,CAN,UZB,0.772,sgo_fairodds,1,,,,,,,0,,,,,,,,2,,,,,,,,2,,,,,,,,0,,,,,,,,0,,,,,,,,0,
INTERNATIONAL_SOCCER,2026-06-02,CRO,BEL,-0.5033,sgo_fairodds,1,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,1,,,,,,,,1,,,,,,,,2,
INTERNATIONAL_SOCCER,2026-06-02,MOR,MAD,,none,0,,,,,,,2,,,,,,,,2,,,,,,,,4,,,,,,,,0,,,,,,,,0,,,,,,,,0,
INTERNATIONAL_SOCCER,2026-06-02,GEO,ROU,0.0104,sgo_fairodds,1,,,,,,,0,,,,,,,,1,,,,,,,,1,,,,,,,,0,,,,,,,,1,,,,,,,,1,
INTERNATIONAL_SOCCER,2026-06-02,WAL,GHA,-0.3278,sgo_fairodds,1,,,,,,,0,,,,,,,,1,,,,,,,,1,,,,,,,,0,,,,,,,,1,,,,,,,,1,
INTERNATIONAL_SOCCER,2026-06-03,HAI,NZL,0.4744,sgo_fairodds,1,,,,,,,1,,,,,,,,3,,,,,,,,4,,,,,,,,0,,,,,,,,0,,,,,,,,0,
